pane	state
wall-00	Some(Working)
wall-01	Some(Working)
wall-02	Some(Working)
wall-03	Some(Working)
wall-04	Some(Working)
wall-05	Some(Working)
wall-06	Some(Working)
wall-07	Some(Working)
wall-08	Some(Working)
wall-09	Some(Working)
wall-10	Some(Working)
wall-11	Some(Working)
wall-12	Some(Working)
wall-13	Some(Working)
wall-14	Some(Working)
wall-15	Some(Working)
wall-16	Some(Working)
wall-17	Some(Working)
wall-18	Some(Working)
wall-19	Some(Working)
wall-20	Some(Working)
wall-21	Some(Working)
wall-22	Some(Working)
wall-23	Some(Working)
wall-24	Some(Working)
wall-25	Some(Working)
wall-26	Some(Working)
wall-27	Some(Working)
wall-28	Some(Working)
wall-29	Some(Working)

# one `PanesDetail` round trip (incl. the handshake): 144 ms
