BRAND §2 contrast (WCAG 2.x) — text floor 4.5:1, graphic floor 3.0:1
variant role   token          surface          ratio
dark    text  text           background       15.33
dark    text  textMuted      background        6.21
dark    text  primary        background       10.92
dark    text  primaryStrong  background       13.51
dark    text  accent         background       11.29
dark    label working        background       10.92
dark    dot   working        background       10.92
dark    label question       background        9.98
dark    dot   question       background        9.98
dark    label blocked        background        9.28
dark    dot   blocked        background        9.28
dark    label done           background       10.58
dark    dot   done           background       10.58
dark    label error          background        5.70
dark    dot   error          background        5.70
dark    label idle           background        6.21
dark    dot   idle           background        3.51
dark    text  text           backgroundPanel  14.39
dark    text  textMuted      backgroundPanel   5.83
dark    text  primary        backgroundPanel  10.25
dark    text  primaryStrong  backgroundPanel  12.68
dark    text  accent         backgroundPanel  10.60
dark    label working        backgroundPanel  10.25
dark    dot   working        backgroundPanel  10.25
dark    label question       backgroundPanel   9.36
dark    dot   question       backgroundPanel   9.36
dark    label blocked        backgroundPanel   8.71
dark    dot   blocked        backgroundPanel   8.71
dark    label done           backgroundPanel   9.93
dark    dot   done           backgroundPanel   9.93
dark    label error          backgroundPanel   5.35
dark    dot   error          backgroundPanel   5.35
dark    label idle           backgroundPanel   5.83
dark    dot   idle           backgroundPanel   3.30
light   text  text           background       17.78
light   text  textMuted      background        6.43
light   text  primary        background        5.69
light   text  primaryStrong  background        4.88
light   text  accent         background        5.59
light   label working        background        5.69
light   dot   working        background        5.69
light   label question       background        6.10
light   dot   question       background        6.10
light   label blocked        background        6.42
light   dot   blocked        background        6.42
light   label done           background        5.88
light   dot   done           background        5.88
light   label error          background        8.88
light   dot   error          background        8.88
light   label idle           background       11.53
light   dot   idle           background       11.53
light   text  text           backgroundPanel  16.73
light   text  textMuted      backgroundPanel   6.05
light   text  primary        backgroundPanel   5.35
light   text  primaryStrong  backgroundPanel   4.59
light   text  accent         backgroundPanel   5.26
light   label working        backgroundPanel   5.35
light   dot   working        backgroundPanel   5.35
light   label question       backgroundPanel   5.74
light   dot   question       backgroundPanel   5.74
light   label blocked        backgroundPanel   6.04
light   dot   blocked        backgroundPanel   6.04
light   label done           backgroundPanel   5.53
light   dot   done           backgroundPanel   5.53
light   label error          backgroundPanel   8.36
light   dot   error          backgroundPanel   8.36
light   label idle           backgroundPanel  10.85
light   dot   idle           backgroundPanel  10.85
